"streetname";"place";"Type"
"Leidsche Rijn";"De Meern";"Water"
"Leidsche Rijn";"Utrecht";"Water"
"Leidsche Rijntunnel";"Utrecht";"Art"
"Leidse Rijn";"De Meern";"Road"
"Leidsekade";"Utrecht";"Road"
"Leidseveer";"Utrecht";"Road"
"Leidseveertunnel";"Utrecht";"Road"
"Leidseweg";"Utrecht";"Road"
"Leistraat";"Utrecht";"Road"
"Lekplantsoen";"Utrecht";"Road"
"Leliestraat";"Utrecht";"Road"
"Lelimanstraat";"Utrecht";"Road"
"Lemelerberg";"Utrecht";"Road"
"Lemnosdreef";"Utrecht";"Road"
"Lente";"De Meern";"Road"
"Lentetuinlaan";"Vleuten";"Road"
"Leo Ascherhof";"Utrecht";"Road"
"Leo Fallplantsoen";"Utrecht";"Road"
"Leo XIII-straat";"Utrecht";"Road"
"Léon Jesselhof";"Utrecht";"Road"
"Leonard Bernsteinkade";"Utrecht";"Road"
"Lepelaarstraat";"Utrecht";"Road"
"Lepelenburg";"Utrecht";"Road"
"Leptonenweg";"Utrecht";"Road"
"Lessinglaan";"Utrecht";"Road"
"Lester Youngpad";"Utrecht";"Road"
"Leuvenlaan";"Utrecht";"Road"
"Leuvenplein";"Utrecht";"Road"
"Leuvenumseboslaan";"De Meern";"Road"
"Leuvenviaduct";"Utrecht";"Art"
"Lichtegaard";"Utrecht";"Road"
"Lichtenberchdreef";"Utrecht";"Road"
"Lichtenberglaan";"De Meern";"Road"
"Liemers";"Utrecht";"Road"
"Liesboschbrug";"Utrecht";"Art"
"Liesbosweg";"Utrecht";"Road"
"Liesgrassingel";"Vleuten";"Road"
"Liesveldse Wetering";"Utrecht";"Water"
"Lieven de Keylaan";"Utrecht";"Road"
"Lieven de Keypad";"Utrecht";"Road"
"Lijnmarkt";"Utrecht";"Road"
"Lijnpadstraat";"Utrecht";"Road"
"Lijsterstraat";"Utrecht";"Road"
"Limalaan";"Utrecht";"Road"
"Limapad";"Utrecht";"Road"
"Lindehoeve";"Vleuten";"Road"
"Lindenboslaan";"Vleuten";"Road"
"Lindestraat";"Utrecht";"Road"
"Lingestraat";"Utrecht";"Road"
"Linnaeuslaan";"Utrecht";"Road"
"Linnaeusstraat";"Utrecht";"Road"
"Linschotenbrug";"Utrecht";"Art"
"Linschotensingel";"Utrecht";"Road"
"Lionel Barthof";"Utrecht";"Road"
"Lippizanerstraat";"Utrecht";"Road"
"Lipsosdreef";"Utrecht";"Road"
"Lisdoddelaan";"Vleuten";"Road"
"Lissabonpromenade";"Utrecht";"Road"
"Lissensteyndreef";"Utrecht";"Road"
"Livarstraat";"Utrecht";"Road"
"Livingstonelaan";"Utrecht";"Road"
"Liviuslaan";"Utrecht";"Road"
"Ljubljanapromenade";"Utrecht";"Road"
"Lloyd Webberhof";"Utrecht";"Road"
"Lo Bruntpad";"Utrecht";"Road"
"Lochemseberg";"De Meern";"Road"
"Locomotiefstraat";"Utrecht";"Road"
"Loderlaan";"Utrecht";"Road"
"Lodewijk Napoleonplantsoen";"Utrecht";"Road"
"Loeff Berchmakerstraat";"Utrecht";"Road"
"Loenenseboslaan";"De Meern";"Road"
"Loevenhoutsedijk";"Utrecht";"Road"
"Lofoten";"Utrecht";"Road"
"Loggerstraat";"Utrecht";"Road"
"Lohengrindreef";"Utrecht";"Road"
"Lomanlaan";"Utrecht";"Road"
"Lombardije";"Utrecht";"Road"
"Lombokstraat";"Utrecht";"Road"
"Londenstraat";"Utrecht";"Road"
"Loobrug";"De Meern";"Art"
"Looierbrug";"Utrecht";"Art"
"Looierstraat";"Utrecht";"Road"
"Looplantsoen";"Utrecht";"Road"
"Lorentzlaan";"Utrecht";"Road"
"Loswal";"Vleuten";"Road"
"Lotharingen";"Utrecht";"Road"
"Lotsydreef";"Utrecht";"Road"
"Lotte Beesekade";"Utrecht";"Road"
"Louis Armstrongboulevard";"Utrecht";"Road"
"Louis Armstronglaan";"Utrecht";"Road"
"Louis Bouwmeesterlaan";"Utrecht";"Road"
"Louis Couperusstraat";"Utrecht";"Road"
"Louis Davidslaan";"Utrecht";"Road"
"Louis Pasteurlaan";"Vleuten";"Road"
"Louis Saalbornlaan";"Utrecht";"Road"
"Louise de Colignystraat";"Utrecht";"Road"
"Louise Kerlinghof";"Utrecht";"Road"
"Lucasbolwerk";"Utrecht";"Road"
"Lucasbrug";"Utrecht";"Art"
"Luit Blomstraat";"Utrecht";"Road"
"Lumbresplein";"Utrecht";"Road"
"Lumbresstraat";"Utrecht";"Road"
"Lumeyhof";"Utrecht";"Road"
"Lumeystraat";"Utrecht";"Road"
"Lundlaan";"Utrecht";"Road"
"Lunenburchdreef";"Utrecht";"Road"
"Lunettenbaan";"Utrecht";"Road"
"Lunettenbrug";"Utrecht";"Art"
"Lusitanopad";"Utrecht";"Road"
"Luwte";"De Meern";"Road"
"Luxemburgpromenade";"Utrecht";"Road"
"Luzernevlinder";"Utrecht";"Road"
"Luzernevlinderplateau";"Utrecht";"Road"
"M. de Klerkstraat";"Utrecht";"Road"
"M. van Meelstraat";"Utrecht";"Road"
"M.A. de Ruyterstraat";"Utrecht";"Road"
"Maansteenweg";"Utrecht";"Road"
"Maanzaadstraat";"Utrecht";"Road"
"Maarsbergerbrug";"Utrecht";"Art"
"Maarschalkerweerdpad";"Utrecht";"Road"
"Maarschalkerweerdtunnel";"Utrecht";"Art"
"Maarssenbroeksedijk";"Utrecht";"Road"
"Maarssenseweg";"Utrecht";"Road"
"Maarten Schrijverlaan";"Utrecht";"Road"
"Maartendijksche Vaart";"Utrecht";"Water"
"Maartensbrug";"Utrecht";"Art"
"Maartvlinder";"Utrecht";"Road"
"Maaskantplantsoen";"Utrecht";"Road"
"Maasplein";"Utrecht";"Road"
"Maasstraat";"Utrecht";"Road"
"Maatpolder";"De Meern";"Road"
"Mabeliastraat";"De Meern";"Road"
"Madameperenlaan";"Vleuten";"Road"
"Madioenstraat";"Utrecht";"Road"
"Madoerastraat";"Utrecht";"Road"
"Madridstraat";"Utrecht";"Road"
"Maetsuykerstraat";"Utrecht";"Road"
"Magda Janssenslaan";"Utrecht";"Road"
"Magdalenabrug";"Utrecht";"Art"
"Magdalenastraat";"Utrecht";"Road"
"Magelhaenlaan";"Utrecht";"Road"
"Magnoliastraat";"Utrecht";"Road"
"Mahonieplaats";"Utrecht";"Road"
"Majellapark";"Utrecht";"Rural area"
"Majellapark";"Utrecht";"Road"
"Majoor Bosshardtplantsoen";"Utrecht";"Rural area"
"Makassarstraat";"Utrecht";"Road"
"Malakkastraat";"Utrecht";"Road"
"Malberg";"De Meern";"Road"
"Maliebaan";"Utrecht";"Road"
"Maliebaanstation";"Utrecht";"Road"
"Maliebrug";"Utrecht";"Art"
"Maliesingel";"Utrecht";"Road"
"Maliestraat";"Utrecht";"Road"
"Maltezerhof";"Utrecht";"Road"
"Managuadreef";"Utrecht";"Road"
"Mandarijnstraat";"Utrecht";"Road"
"Mandenmakerslaan";"De Meern";"Road"
"Manegelaan";"Utrecht";"Road"
"Manenburg";"Utrecht";"Road"
"Maniladreef";"Utrecht";"Road"
"Manitobadreef";"Utrecht";"Road"
"Mantelmeeuwhof";"Utrecht";"Road"
"Marburglaan";"Utrecht";"Road"
"Marc Chagallstraat";"Utrecht";"Road"
"Marco Pololaan";"Utrecht";"Road"
"Marconistraat";"Utrecht";"Road"
"Marcus Aurelius";"De Meern";"Road"
"Marelaan";"De Meern";"Road"
"Marga Klompébrug";"Utrecht";"Art"
"Marga Klompésingel";"Utrecht";"Road"
"Margaretha van Parmadreef";"Utrecht";"Road"
"Maria Montessorikade";"Utrecht";"Road"
"Maria Rutgershaghe";"Utrecht";"Road"
"Maria Theresiadreef";"Utrecht";"Road"
"Maria van Hongarijedreef";"Utrecht";"Road"
"Maria van Reedestraat";"Utrecht";"Road"
"Mariahoek";"Utrecht";"Road"
"Mariaplaats";"Utrecht";"Road"
"Mariastraat";"Utrecht";"Road"
"Marie Curielaan";"Utrecht";"Road"
"Marie Jungiushaghe";"Utrecht";"Road"
"Mariëndaalstraat";"Utrecht";"Road"
"Marinus van Tyruslaan";"Utrecht";"Road"
"Marinus van Tyrusviaduct";"Utrecht";"Art"
"Marislaan";"Utrecht";"Road"
"Marjoleinweg";"Utrecht";"Road"
"Marketentsterlaan";"De Meern";"Road"
"Marksbrug";"Utrecht";"Art"
"Markstraat";"Utrecht";"Road"
"Marmerplein";"Utrecht";"Road"
"Marmerstraat";"Utrecht";"Road"
"Marnedreef";"Utrecht";"Road"
"Marnixbrug";"Utrecht";"Art"
"Marnixlaan";"Utrecht";"Road"
"Marokkodreef";"Utrecht";"Road"
"Marowijnedreef";"Utrecht";"Road"
"Marshalllaan";"Utrecht";"Road"
"Marsstraat";"Utrecht";"Road"
"Marten Toonderstraat";"Utrecht";"Road"
"Martin-ovenweg";"Utrecht";"Road"
"Martinus Nijhoffsingel";"De Meern";"Road"
"Mary Zeldenrusthaghe";"Utrecht";"Road"
"Maskarenen";"Utrecht";"Road"
"Maskerbloemlaan";"Vleuten";"Road"
"Massegast";"Utrecht";"Road"
"Mastboslaan";"Vleuten";"Road"
"Mattenbieslaan";"Vleuten";"Road"
"Matterhorn";"Utrecht";"Road"
"Maupertuusplein";"Utrecht";"Road"
"Mauritiuslaan";"Utrecht";"Road"
"Mauritslaan";"De Meern";"Road"
"Mauritspark";"De Meern";"Rural area"
"Mauritsstraat";"Utrecht";"Road"
"Max Ernstlaan";"Utrecht";"Road"
"Max Velthuijsstraat";"Utrecht";"Road"
"Máximapark";"Vleuten";"Rural area"
"Máximapark";"Utrecht";"Rural area"
"Máximapark";"De Meern";"Rural area"
"Mayadreef";"Utrecht";"Road"
"Mecklenburglaan";"Utrecht";"Road"
"Medanstraat";"Utrecht";"Road"
"Medusadreef";"Utrecht";"Road"
"Meentbrug";"De Meern";"Art"
"Meentpark";"De Meern";"Rural area"
"Meentweg";"De Meern";"Road"
"Meerkoethof";"Utrecht";"Road"
"Meernbrug";"De Meern";"Art"
"Meerndijk";"De Meern";"Road"
"Meernhof";"De Meern";"Road"
"Meervalstraat";"Utrecht";"Road"
"Meidoornstraat";"Utrecht";"Road"
"Meijewetering";"Utrecht";"Road"
"Mekongdreef";"Utrecht";"Road"
"Melis Stokestraat";"Utrecht";"Road"
"Melissekade";"Utrecht";"Road"
"Melkmeisjeslaan";"De Meern";"Road"
"Melkzwamsingel";"Vleuten";"Road"
"Meloenstraat";"Utrecht";"Road"
"Menadostraat";"Utrecht";"Road"
"Mendelssohnstraat";"Utrecht";"Road"
"Menno ter Braakstraat";"Utrecht";"Road"
"Menno van Coehoornstraat";"Utrecht";"Road"
"Mercatorlaan";"Utrecht";"Road"
"Mercuriushof";"Utrecht";"Road"
"Meredith Willsonstraat";"Utrecht";"Road"
"Merelbrug";"Utrecht";"Art"
"Merelhof";"Utrecht";"Road"
"Merelstraat";"Utrecht";"Road"
"Mereveldlaan";"De Meern";"Road"
"Mereveldplein";"De Meern";"Road"
"Mereveldseweg";"Utrecht";"Road"
"Meridiaan";"De Meern";"Road"
"Meridiaanstraat";"Utrecht";"Road"
"Merkesstraat";"Utrecht";"Road"
"Merwedekade";"Utrecht";"Road"
"Merwedekanaal";"Utrecht";"Water"
"Merwedeplantsoen";"Utrecht";"Road"
"Merwedestraat";"Utrecht";"Road"
"Mesdaglaan";"Vleuten";"Road"
"Mesdaglaan";"Utrecht";"Road"
"Mesonhaven";"Utrecht";"Water"
"Mesonweg";"Utrecht";"Road"
"Meteoorhof";"Utrecht";"Road"
"Meteorenweg";"Utrecht";"Road"
"Mexicodreef";"Utrecht";"Road"
"M.G. de Bruinlaan";"Utrecht";"Road"
"Mgr. Hoogveldplein";"Utrecht";"Road"
"Mgr. van de Weteringstraat";"Utrecht";"Road"
"M.H. Trompstraat";"Utrecht";"Road"
"Miamidreef";"Utrecht";"Road"
"Midasdreef";"Utrecht";"Road"
"Middelwetering";"Vleuten";"Water"
"Middenburcht";"Vleuten";"Road"
"Middenwetering";"Utrecht";"Road"
"Mien Bladergroenhaghe";"Utrecht";"Road"
"Mien Bladergroenpad";"Utrecht";"Road"
"Mien Ruyshaghe";"Utrecht";"Road"
"Mien Ruyskade";"Utrecht";"Road"
"Mierikswortelstraat";"Utrecht";"Road"
"Mies Bouhuysstraat";"Utrecht";"Road"
"Mignondreef";"Utrecht";"Road"
"Mijdrechtstraat";"Utrecht";"Road"
"Mijndenpolder";"De Meern";"Road"
"Miles Davisstraat";"Utrecht";"Road"
"Milosdreef";"Utrecht";"Road"
"Miltenburgstraat";"Utrecht";"Road"
"Mimosastraat";"Utrecht";"Road"
"Minahassastraat";"Utrecht";"Road"
"Minaretdreef";"Utrecht";"Road"
"Minbrug";"Utrecht";"Art"
"Minervaplein";"Utrecht";"Road"
"Mineurslaan";"Utrecht";"Road"
"Minhof";"Utrecht";"Road"
"Minister de Visserstraat";"Utrecht";"Road"
"Minister Talmastraat";"Utrecht";"Road"
"Minkade";"Utrecht";"Road"
"Minorpad";"De Meern";"Road"
"Minrebroederstraat";"Utrecht";"Road"
"Minstraat";"Utrecht";"Road"
"Minstreellaan";"Utrecht";"Road"
"Minstroom";"Utrecht";"Water"
"Mississippidreef";"Utrecht";"Road"
"Mistral";"De Meern";"Road"
"Mitch Leighhof";"Utrecht";"Road"
"Moeder Teresalaan";"Utrecht";"Road"
"Moerasvaren";"Vleuten";"Road"
"Moerbeistraat";"Utrecht";"Road"
"Moersbergen";"Vleuten";"Road"
"Moesson";"De Meern";"Road"
"Moesstraat";"Utrecht";"Road"
"Moestuinlaan";"Vleuten";"Road"
"Moestuinplaats";"Vleuten";"Road"
"Moezeldreef";"Utrecht";"Road"
"Moldaudreef";"Utrecht";"Road"
"Molenbeekstraat";"Utrecht";"Road"
"Molengraaffplantsoen";"Utrecht";"Road"
"Molenpark";"Utrecht";"Road"
"Molenpolder";"De Meern";"Road"
"Molenrakhof";"Utrecht";"Road"
"Molensteijn";"De Meern";"Road"
"Molenstraat";"Utrecht";"Road"
"Molenwerfhof";"Utrecht";"Road"
"Molenwerfsteeg";"Utrecht";"Road"
"Molièrelaan";"Utrecht";"Road"
"Molukkenstraat";"Utrecht";"Road"
"Monarchvlinderlaan";"Utrecht";"Road"
"Mondriaanerf";"Vleuten";"Road"
"Monicabrug";"Utrecht";"Art"
"Monicahof";"Utrecht";"Road"
"Monnetlaan";"Utrecht";"Road"
"Monnikeraklaan";"Utrecht";"Road"
"Montalbaendreef";"Utrecht";"Road"
"Montevideodreef";"Utrecht";"Road"
"Montfoortlaan";"Utrecht";"Road"
"Montrealdreef";"Utrecht";"Road"
"Moreelsepark";"Utrecht";"Rural area"
"Moreelsepark";"Utrecht";"Road"
"Moreelseviaduct";"Utrecht";"Art"
"Morelstraat";"Utrecht";"Road"
"Morgenstond";"De Meern";"Road"
"Moskeeplein";"Utrecht";"Road"
"Mosterdweg";"Utrecht";"Road"
"Mostperenlaan";"Vleuten";"Road"
"Moutstraat";"Utrecht";"Road"
"Mozartbrug";"Utrecht";"Art"
"Mozartlaan";"Utrecht";"Road"
"M.P. Lindostraat";"Utrecht";"Road"
"Mr. J.M.M. Hamersplantsoen";"Utrecht";"Rural area"
"Mr. J.M.M. Hamersplantsoen";"Utrecht";"Road"
"Mr. Sickeszlaan";"Utrecht";"Road"
"Mr. Tripkade";"Utrecht";"Road"
"Muiderslotlaan";"Utrecht";"Road"
"Muiderslotplantsoen";"Utrecht";"Rural area"
"Muiderslotplantsoen";"Utrecht";"Road"
"Mulderstraat";"Utrecht";"Road"
"Multatulistraat";"Vleuten";"Road"
"Münsterlaan";"Utrecht";"Road"
"Muntbrug";"Utrecht";"Art"
"Muntkade";"Utrecht";"Road"
"Muntsteeg";"Utrecht";"Road"
"Muntstraat";"Utrecht";"Road"
"Museumbrug";"Utrecht";"Art"
"Museumlaan";"Utrecht";"Road"
"Musicalkade";"Utrecht";"Road"
"Musicallaan";"Utrecht";"Road"
"Musketierlaan";"Utrecht";"Road"
"Muurkaspad";"Utrecht";"Road"
"Muurkasstraat";"Utrecht";"Road"
"Muurkruid";"De Meern";"Road"
"Muylenborchdreef";"Utrecht";"Road"
"Muyskenweg";"Utrecht";"Road"
"Muziekplein";"Utrecht";"Road"
"Mykonosdreef";"Utrecht";"Road"
"Mytylweg";"Utrecht";"Road"
"Naamrijk";"De Meern";"Road"
"Naberlaan";"Utrecht";"Road"
"Nabuccodreef";"Utrecht";"Road"
"Nachtegaalstraat";"Utrecht";"Road"
"Nachtvlinderplantsoen";"Utrecht";"Road"
"Nansenlaan";"Utrecht";"Road"
"Narcisstraat";"Utrecht";"Road"
"Nassaustraat";"Utrecht";"Road"
"Nassaustraat";"Vleuten";"Road"
"Nataldreef";"Utrecht";"Road"
"Nathanaëlspoort";"Utrecht";"Road"
"Nat'King'Colestraat";"Utrecht";"Road"
"Nautilusweg";"Utrecht";"Road"
"Nauwe Blindesteeg";"Utrecht";"Road"
"Nauwe Watersteeg";"Utrecht";"Road"
"Naxosdreef";"Utrecht";"Road"
"Nebraskadreef";"Utrecht";"Road"
"Neckardreef";"Utrecht";"Road"
"Nedereindsche Wetering";"Utrecht";"Water"
"Nedereindseplas";"Utrecht";"Water"
"Nedereindseweg";"Utrecht";"Road"
"Neeltje Lokersehaghe";"Utrecht";"Road"
"Neeltje Lokersekade";"Utrecht";"Road"
"Neerlandiakade";"Utrecht";"Road"
"Nel Schuttevaêrstraat";"Utrecht";"Road"
"Nel Stantsbrug";"Utrecht";"Art"
"Nelson Mandelabrug";"Utrecht";"Art"
"Neptunusstraat";"Utrecht";"Road"
"Nestordreef";"Utrecht";"Road"
"Neude";"Utrecht";"Road"
"Neutronweg";"Utrecht";"Road"
"Nevadadreef";"Utrecht";"Road"
"New Yorkdreef";"Utrecht";"Road"
"Newtonlaan";"Utrecht";"Road"
"Niasstraat";"Utrecht";"Road"
"Nicaraguadreef";"Utrecht";"Road"
"Nico Dostalstraat";"Utrecht";"Road"
"Nicolaas Beetsstraat";"Utrecht";"Road"
"Nicolaas Ruychaverstraat";"Utrecht";"Road"
"Nicolaas Sopingiusstraat";"Utrecht";"Road"
"Nicolaasdwarsstraat";"Utrecht";"Road"
"Nicolaaskerkhof";"Utrecht";"Road"
"Nicolaasstraat";"Utrecht";"Road"
"Nicolaasweg";"Utrecht";"Road"
"Niels Bohrweg";"Utrecht";"Road"
"Nieuw-Amsterdamlaan";"Utrecht";"Road"
"Nieuwe Boomgaard";"Vleuten";"Road"
"Nieuwe Daalstraat";"Utrecht";"Road"
"Nieuwe Gracht";"Utrecht";"Water"
"Nieuwe Houtenseweg";"Utrecht";"Road"
"Nieuwe Keizersgracht";"Utrecht";"Road"
"Nieuwe Koekoekstraat";"Utrecht";"Road"
"Nieuwe Pijlsweerdstraat";"Utrecht";"Road"
"Nieuwe Vaart";"Vleuten";"Road"
"Nieuwegracht";"Utrecht";"Road"
"Nieuwegracht aan de Werf";"Utrecht";"Road"
"Nieuwekade";"Utrecht";"Road"
"Nieuwekamp";"Utrecht";"Road"
"Nieuwewetering";"Utrecht";"Road"
"Nieuwlichtstraat";"Utrecht";"Road"
"Nieuwravenstraat";"Utrecht";"Road"
"Niftarlakeplantsoen";"Utrecht";"Road"
"Niftarlakeplantsoen";"Utrecht";"Rural area"
"Nigerdreef";"Utrecht";"Road"
"Nijenoord";"Utrecht";"Road"
"Nijenrodelaan";"Utrecht";"Road"
"Nijenrodeplantsoen";"Utrecht";"Road"
"Nijenrodeplantsoen";"Utrecht";"Rural area"
"Nijeveldbrug";"Utrecht";"Art"
"Nijeveldsingel";"Utrecht";"Road"
"Nijlandlaan";"Utrecht";"Road"
"Nijldreef";"Utrecht";"Road"
"Nijntje Pleintje";"Utrecht";"Road"
"Nijverheidskade";"Utrecht";"Road"
"Nijverheidsweg";"Utrecht";"Road"
"Nirrewortel";"De Meern";"Road"
"Nobel Hoeve";"Vleuten";"Road"
"Nobeldwarsstraat";"Utrecht";"Road"
"Nobelstraat";"Utrecht";"Road"
"Nolenshof";"Utrecht";"Road"
"Nolenslaan";"Utrecht";"Road"
"Noltheniusstraat";"Utrecht";"Road"
"Noordeindestraat";"Utrecht";"Road"
"Noorderbreedte";"De Meern";"Road"
"Noorderbrug";"Utrecht";"Art"
"Noorderburcht";"Vleuten";"Road"
"Noorderlicht";"De Meern";"Road"
"Noorderplaat";"De Meern";"Road"
"Noordersluis";"Utrecht";"Road"
"Noorderstraat";"Utrecht";"Road"
"Noordertunnel";"Utrecht";"Road"
"Noordhout";"Vleuten";"Road"
"Noordse Park";"Utrecht";"Rural area"
"Noordse Parklaan";"Utrecht";"Road"
"Noordzeestraat";"Utrecht";"Road"
"Nootmuskaatweg";"Utrecht";"Road"
"Normadreef";"Utrecht";"Road"
"Normandië";"Utrecht";"Road"
"Notebomenhof";"Utrecht";"Road"
"Notebomenlaan";"Utrecht";"Road"
"Nucleonenweg";"Utrecht";"Road"
"Nyevelthof";"De Meern";"Road"
"Nyeveltstraat";"De Meern";"Road"
"Oasedreef";"Utrecht";"Road"
"Obbinklaan";"Utrecht";"Road"
"Oberondreef";"Utrecht";"Road"
"Obihof";"Utrecht";"Road"
"Obrechtstraat";"Utrecht";"Road"
"Ockhuizerweg";"Haarzuilens";"Road"
"Odenveltlaan";"Vleuten";"Road"
"Odenveltpark";"Vleuten";"Road"
"Oderdreef";"Utrecht";"Road"
"Oeral";"Utrecht";"Road"
"Oesterzwam";"Vleuten";"Road"
"Oeverpad";"Utrecht";"Road"
"Oeverzeggelaan";"Vleuten";"Road"
"Offerhausweg";"Utrecht";"Road"
"Okapidreef";"Utrecht";"Road"
"Okkernootstraat";"Utrecht";"Road"
"Oklahomadreef";"Utrecht";"Road"
"Oldambt";"Utrecht";"Road"
"Oldenburgerstraat";"Utrecht";"Road"
"Oleanderstraat";"Utrecht";"Road"
"Olijfboomstraat";"Utrecht";"Road"
"Olmstraat";"Utrecht";"Road"
"Olof Palmelaan";"Utrecht";"Road"
"Oltmansstraat";"Utrecht";"Road"
"Olympus";"Utrecht";"Road"
"Omloop";"Utrecht";"Road"
"Ondiep";"Utrecht";"Road"
"Ondiep-Zuidzijde";"Utrecht";"Road"
"Ontariodreef";"Utrecht";"Road"
"Ooftstraat";"Utrecht";"Road"
"Ooievaarhof";"Utrecht";"Road"
"Oorsprongbrug";"Utrecht";"Art"
"Oorsprongpark";"Utrecht";"Road"
"Oortlaan";"Utrecht";"Road"
"Oostbroekselaan";"Utrecht";"Road"
"Oosterkade";"Utrecht";"Road"
"Oosterleestraat";"Utrecht";"Road"
"Oosterlengte";"De Meern";"Road"
"Oosterstraat";"Utrecht";"Road"
"Oosterstroom";"Utrecht";"Water"
"Opaalweg";"Utrecht";"Road"
"Operettelaan";"Utrecht";"Road"
"Oppenheimplein";"Utrecht";"Road"
"Opsterland";"Utrecht";"Road"
"Opzoomerstraat";"Utrecht";"Road"
"Oranjebrug";"Utrecht";"Art"
"Oranjehof";"Utrecht";"Road"
"Oranjelaan";"De Meern";"Road"
"Oranje-Nassaulaan";"Utrecht";"Road"
"Oranjerivierdreef";"Utrecht";"Road"
"Oranjestraat";"Utrecht";"Road"
"Orchideestraat";"Utrecht";"Road"
"Oreganoweg";"Utrecht";"Road"
"Oregondreef";"Utrecht";"Road"
"Orinocodreef";"Utrecht";"Road"
"Orionstraat";"Utrecht";"Road"
"Orkaan";"De Meern";"Road"
"Orkaden";"Utrecht";"Road"
"Ornsteinsingel";"Utrecht";"Road"
"Orteliuslaan";"Utrecht";"Road"
"Oscar Hammersteinstraat";"Utrecht";"Road"
"Oskar Nedbalhof";"Utrecht";"Road"
"Oslostraat";"Utrecht";"Road"
"Ossewagendreef";"Utrecht";"Road"
"Oswald Wenckebachhof";"Utrecht";"Road"
"Othellodreef";"Utrecht";"Road"
"Ottawadreef";"Utrecht";"Road"
"Otterspoorlaan";"Utrecht";"Road"
"Otterstraat";"Utrecht";"Road"
"Otto Hahnweg";"Utrecht";"Road"
"Oude Baden-Powellweg";"Utrecht";"Road"
"Oude Daalstraat";"Utrecht";"Road"
"Oude Gracht";"Utrecht";"Water"
"Oude Houtensepad";"Utrecht";"Road"
"Oude Kerkstraat";"Utrecht";"Road"
"Oude Leidseweg";"Utrecht";"Road"
"Oude Liesbosweg";"Utrecht";"Road"
"Oude Loevenhoutsedijk";"Utrecht";"Road"
"Oude Pijlsweerdstraat";"Utrecht";"Road"
"Oude Rijn";"Utrecht";"Water"
"Oude Vleutenseweg";"Utrecht";"Road"
"Oudegeinlaan";"Utrecht";"Road"
"Oudegracht";"Utrecht";"Road"
"Oudegracht aan de Werf";"Utrecht";"Road"
"Oudekamp";"Utrecht";"Road"
"Oudemansstraat";"Utrecht";"Road"
"Oudenoord";"Utrecht";"Road"
"Oudenrijnsche Wetering";"Utrecht";"Water"
"Oudenrijnsepad";"Utrecht";"Road"
"Oudenrijnseweg";"De Meern";"Road"
"Oudenrijnsingel";"De Meern";"Road"
"Ouderijnbrug";"Utrecht";"Art"
"Oudkerkhof";"Utrecht";"Road"
"Oudlaan";"Utrecht";"Road"
"Oudwijk";"Utrecht";"Road"
"Oudwijkerdwarsstraat";"Utrecht";"Road"
"Oudwijkerlaan";"Utrecht";"Road"
"Oudwijkerveldstraat";"Utrecht";"Road"
"Oud-Wulvenlaan";"Utrecht";"Road"
"Oud-Wulvenplantsoen";"Utrecht";"Road"
"Oud-Wulverbroekwetering";"Utrecht";"Water"
"Overijssellaan";"Utrecht";"Road"
"Overste den Oudenlaan";"Utrecht";"Road"
"Overwinningslaan";"Utrecht";"Road"
"Ovidiuslaan";"Utrecht";"Road"
"Oxfordpad";"Utrecht";"Road"
"P.A. de Genestetstraat";"Utrecht";"Road"
"Paardenbloemsingel";"Vleuten";"Road"
"Paardensprongstraat";"Utrecht";"Road"
"Paardenveld";"Utrecht";"Road"
"Paardenveldbrug";"Utrecht";"Art"
"Paarlstraat";"Utrecht";"Road"
"Pablo Nerudastraat";"Utrecht";"Road"
"Pablo Picassostraat";"Utrecht";"Road"
"Pad van de Onbekende Heldin";"Haarzuilens";"Road"
"Pad van de Onbekende Heldin";"Utrecht";"Road"
"Padangstraat";"Utrecht";"Road"
"Paddenstoelenhof";"Vleuten";"Road"
"Paddenstoelenlaan";"Vleuten";"Road"
"Paddenstoelenplaats";"Vleuten";"Road"
"Paddenstoelenstede";"Vleuten";"Road"
"Padualaan";"Utrecht";"Road"
"Pagelaan";"Utrecht";"Road"
"Pagodedreef";"Utrecht";"Road"
"Pahud de Mortangesdreef";"Utrecht";"Road"
"Pal Maleterstraat";"Utrecht";"Road"
"Paleistuinlaan";"Vleuten";"Road"
"Palembangstraat";"Utrecht";"Road"
"Palestrinastraat";"Utrecht";"Road"
"Palissanderstraat";"Utrecht";"Road"
"Pallaesstraat";"Utrecht";"Road"
"Pallas-Athenedreef";"Utrecht";"Road"
"Palmstraat";"Utrecht";"Road"
"Palmsuikerweg";"Utrecht";"Road"
"Pampadreef";"Utrecht";"Road"
"Pampasgraslaan";"Vleuten";"Road"
"Panbos";"Vleuten";"Road"
"Pandoradreef";"Utrecht";"Road"
"Panovenstraat";"Utrecht";"Road"
"Papaverstraat";"Utrecht";"Road"
"Papendorpbrug";"Utrecht";"Art"
"Papendorpsepad";"Utrecht";"Road"
"Papendorpseweg";"Utrecht";"Road"
"Papiliohof";"Utrecht";"Road"
"Paprikaweg";"Utrecht";"Road"
"Papyrusdreef";"Utrecht";"Road"
"Paradijstuinlaan";"Vleuten";"Road"
"Parallelweg";"Utrecht";"Road"
"Paramaribostraat";"Utrecht";"Road"
"Paranádreef";"Utrecht";"Road"
"Parelmoervlinder";"Utrecht";"Road"
"Parijsboulevard";"Utrecht";"Road"
"Parijsplein";"Utrecht";"Road"
